,Company,Initiatives
0,Maybank,"['Carbon Disclosure Project', 'Sustainable Development Goals', 'Climate Bonds Initiative', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board', 'Global Reporting Initiative']"
1,UOB,"['Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'Asia Sustainable Finance Initiative', 'Partnership for Carbon Accounting Financials', 'Sustainability Linked Loan Principles', 'Green Bond Principles', 'Intergovernmental Panel on Climate Change']"
2,AIIB,"['Sustainable Development Goals', 'United Nations Framework Convention on Climate Change']"
3,BRI,"['Green Bond Principles', 'Sustainable Development Goals', 'Sustainability Banking Assessment', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Principles for Responsible Banking', 'United Nations Framework Convention on Climate Change']"
4,CHBank,['Stock Exchange of Hong Kong']
5,Mizuho,"['Equator Principles', 'Partnership for Carbon Accounting Financials']"
6,CMB,"['Global Reporting Initiative', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Green Bond Principles', 'Stock Exchange of Hong Kong']"
7,SBI,"['Sustainable Development Goals', 'Global Reporting Initiative', 'Climate Bonds Initiative']"
8,Dahsing,['Stock Exchange of Hong Kong']
9,Hana,"['Global Reporting Initiative', 'Principles for Responsible Banking', 'Sustainable Development Goals', 'UN Global Compact', 'Task Force on Climate-related Financial Disclosure', 'Equator Principles', 'Carbon Disclosure Project']"
10,Krungthai,"['Global Reporting Initiative', 'Sustainable Development Goals']"
11,Danamon,"['Sustainable Development Goals', 'Global Reporting Initiative']"
12,CIMB,"['Sustainable Development Goals', 'UN Global Compact', 'Green Bond Principles', 'Principles for Responsible Investment', 'Global Reporting Initiative', 'Principles for Responsible Banking', 'Sustainability Accounting Standards Board', 'Collective Commitment to Climate Action', 'Task Force on Climate-related Financial Disclosure', 'Global Investors for Sustainable Development Alliance ', 'Asia Sustainable Finance Initiative', 'ASEAN Green Bond Standards', 'United Nations Framework Convention on Climate Change', 'FTSE Russell', 'Stock Exchange of Hong Kong']"
13,BangkokBank,"['Sustainable Development Goals', 'Global Reporting Initiative', 'Intergovernmental Panel on Climate Change']"
14,BEA,"['Stock Exchange of Hong Kong', 'Carbon Disclosure Project', 'Equator Principles', 'Principles for Responsible Investment', 'Global Reporting Initiative']"
15,HSBCBank,"['Sustainable Markets Initiative', 'Task Force on Climate-related Financial Disclosure', 'Paris Agreement Capital Transition Assessment', 'Stock Exchange of Hong Kong', 'Equator Principles', 'Intergovernmental Panel on Climate Change', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'Carbon Disclosure Project']"
16,CITICBank,"['Stock Exchange of Hong Kong', 'Global Reporting Initiative', 'Sustainable Development Goals', 'Intergovernmental Panel on Climate Change']"
17,OCBC,"['Global Reporting Initiative', 'Sustainable Development Goals', 'Equator Principles', 'Asia Sustainable Finance Initiative', 'Intergovernmental Panel on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'Green Bond Principles', 'UN Global Compact']"
18,RHB,"['Global Reporting Initiative', 'Sustainable Development Goals', 'ASEAN Green Bond Standards', 'UN Global Compact', 'FTSE Russell', 'Task Force on Climate-related Financial Disclosure', 'Green Bond Principles', 'United Nations Framework Convention on Climate Change', 'Sustainability Accounting Standards Board', 'Carbon Disclosure Project']"
19,BDO,"['Sustainable Development Goals', 'Global Reporting Initiative', 'United Nations Framework Convention on Climate Change']"
20,CCB,"['Global Reporting Initiative', 'Stock Exchange of Hong Kong', 'Intergovernmental Panel on Climate Change', 'FTSE Russell', 'Task Force on Climate-related Financial Disclosure']"
21,SCB,"['FTSE Russell', 'Sustainable Development Goals', 'ASEAN Green Bond Standards', 'Green Bond Principles', 'Climate Bonds Initiative', 'Equator Principles', 'Task Force on Climate-related Financial Disclosure', 'Intergovernmental Panel on Climate Change']"
22,MUFG,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Equator Principles', 'Partnership for Carbon Accounting Financials', 'Science Based Targets initiative', 'Keidanren Challenge Zero', 'Poseidon Principles', 'Principles for Financial Action for the 21st Century', 'Principles for Responsible Banking', 'Principles for Responsible Investment', 'UN Global Compact', 'Sustainability Accounting Standards Board', 'FTSE Russell', 'United Nations Environment Program Finance Initiative', 'Carbon Disclosure Project', 'Climate Action 100+', 'Green Bond Principles', 'Climate Bonds Initiative', 'Intergovernmental Panel on Climate Change']"
23,BOC,"['Stock Exchange of Hong Kong', 'Green Investment Principle', 'Green Bond Principles', 'International Platform on Sustainable Finance', 'Task Force on Climate-related Financial Disclosure']"
24,HLB,"['Global Reporting Initiative', 'Sustainable Development Goals', 'IFC Performance Standard', 'Task Force on Climate-related Financial Disclosure']"
25,DBS,"['UN Global Compact', 'Sustainability Accounting Standards Board', 'Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Equator Principles', 'Carbon Disclosure Project', 'Green Investment Principle', 'Sustainable Development Goals']"
26,BNI,['Sustainable Development Goals']
27,PSBC,"['Stock Exchange of Hong Kong', 'Intergovernmental Panel on Climate Change']"
28,Mandiri,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'United Nations Framework Convention on Climate Change', 'Global Reporting Initiative']"
29,CitiBank,"['Sustainable Development Goals', 'Equator Principles', 'Green Bond Principles', 'Global Investors for Sustainable Development Alliance ', 'Paris Agreement Capital Transition Assessment', 'Poseidon Principles', 'Principles for Responsible Banking', 'Sustainable Markets Initiative', 'Partnership for Carbon Accounting Financials', 'Task Force on Climate-related Financial Disclosure', 'Intergovernmental Panel on Climate Change', 'Asia Investor Group on Climate Change', 'Climate Action 100+', 'Investor Group on Climate Change', 'Global Reporting Initiative', 'United Nations Framework Convention on Climate Change']"
30,ICBC,"['Stock Exchange of Hong Kong', 'Global Reporting Initiative']"
31,Shinhan,"['UN Global Compact', 'Global Reporting Initiative', 'Equator Principles', 'Partnership for Carbon Accounting Financials', 'Sustainable Development Goals', 'Principles for Responsible Banking', 'Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure', 'Value Balancing Alliance', 'Science Based Targets initiative', 'Sustainability Accounting Standards Board']"
32,Edward,['Sustainable Development Goals']
33,ABERDEEN,"['Sustainable Development Goals', 'UN Global Compact', 'Principles for Responsible Investment', 'Sustainability Accounting Standards Board']"
34,JPMORGAN,"['Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'Climate Action 100+', 'Equator Principles', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'Center for Climate-Aligned Finance']"
35,Pinebridge,"['UN Global Compact', 'Principles for Responsible Investment', 'Climate Disclosure Standards Board', 'Climate Action 100+', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Investor Network on Climate Risk', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Global Investors for Sustainable Development Alliance ']"
36,Morgan,"['Sustainability Accounting Standards Board', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Partnership for Carbon Accounting Financials', 'Sustainable Development Goals', 'Green Bond Principles', 'Investor Network on Climate Risk', 'Carbon Disclosure Project']"
37,Ashmore,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'UN Global Compact', 'IFC Performance Standard']"
38,HANGSENG,"['Global Reporting Initiative', 'Sustainable Development Goals', 'Equator Principles', 'Principles for Responsible Investment', 'UN Global Compact', 'Stock Exchange of Hong Kong', 'Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board']"
39,Sinopac,"['Sustainable Development Goals', 'Equator Principles', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Intergovernmental Panel on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project', 'UN Global Compact', 'Principles for Responsible Investment', 'Science Based Targets initiative', 'Climate Action 100+']"
40,CAPITAL,"['Principles for Responsible Investment', 'UN Global Compact']"
41,HSBCAM,"['UN Global Compact', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Climate Action 100+', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'Investor Network on Climate Risk', 'Climate Bonds Initiative', 'Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project']"
42,AVIVA,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'Global Real Estate Sustainability Benchmark', 'Climate Action 100+', 'Intergovernmental Panel on Climate Change', 'Carbon Disclosure Project', 'Global Reporting Initiative', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Sustainability Accounting Standards Board', 'UN Global Compact']"
43,Legal&General,"['Global Reporting Initiative', 'Science Based Targets initiative', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'UN Global Compact', 'Carbon Disclosure Project', 'The Greenhouse Gas Protocol', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board']"
44,GAM,"['UN Global Compact', 'Principles for Responsible Investment', 'Climate Action 100+', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Investor Network on Climate Risk', 'Sustainable Development Goals', 'Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure']"
45,Muzinich,"['Principles for Responsible Investment', 'Sustainability Accounting Standards Board', 'Climate Action 100+', 'Task Force on Climate-related Financial Disclosure']"
46,VP,"['Stock Exchange of Hong Kong', 'Principles for Responsible Investment']"
47,TIAA,"['Sustainable Development Goals', 'Principles for Responsible Investment', 'Investor Network on Climate Risk', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles']"
48,EFUND,"['UN Global Compact', 'Principles for Responsible Investment', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Investor Network on Climate Risk', 'Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure', 'Climate Action 100+']"
49,TCW,['Principles for Responsible Investment']
50,UBS,"['Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Principles for Responsible Banking', 'Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'Principles for Responsible Investment', 'Paris Agreement Capital Transition Assessment', 'Intergovernmental Panel on Climate Change', 'Climate Action 100+', 'Institutional Investors Group on Climate Change', 'Global Real Estate Sustainability Benchmark', 'Green Investment Principle', 'Carbon Disclosure Project', 'United Nations Framework Convention on Climate Change', 'Net Zero Asset Managers initiative', 'Green Bond Principles', 'IFC Performance Standard', 'Global Investors for Sustainable Development Alliance ']"
51,PIMCO,"['Sustainable Development Goals', 'UN Global Compact', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure', 'The Greenhouse Gas Protocol', 'Climate Action 100+', 'Principles for Responsible Investment', 'Institutional Investors Group on Climate Change', 'Climate Bonds Initiative', 'Green Bond Principles']"
52,FIDELITY,"['Climate Action 100+', 'Sustainable Markets Initiative', 'International Platform on Sustainable Finance', 'Global Real Estate Sustainability Benchmark', 'Science Based Targets initiative']"
53,Neuberger,"['Sustainable Development Goals', 'Principles for Responsible Investment', 'Equator Principles', 'UN Global Compact', 'Climate Action 100+', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board']"
54,EVERBRIGHT,['Stock Exchange of Hong Kong']
55,Schroders,"['Science Based Targets initiative', 'Sustainable Development Goals', 'Carbon Disclosure Project', 'Principles for Responsible Investment', 'Net Zero Asset Managers initiative', 'Global Real Estate Sustainability Benchmark', 'International Corporate Governance Network', 'Global Reporting Initiative', 'UN Global Compact', 'Asia Investor Group on Climate Change', 'Investor Group on Climate Change', 'Institutional Investors Group on Climate Change', 'FTSE Russell', 'Task Force on Climate-related Financial Disclosure', 'Climate Action 100+']"
56,ALLIANZ,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'Climate Action 100+', 'Institutional Investors Group on Climate Change', 'Green Bond Principles', 'Carbon Disclosure Project', 'Climate Bonds Initiative', 'Investor Group on Climate Change', 'Sustainability Accounting Standards Board', 'International Corporate Governance Network']"
57,BOCHK,"['Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Stock Exchange of Hong Kong', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Green Investment Principle']"
58,CMBC,"['Stock Exchange of Hong Kong', 'Intergovernmental Panel on Climate Change', 'Global Reporting Initiative', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Green Bond Principles']"
59,BlackRock,"['FTSE Russell', 'UN Global Compact', 'Green Bond Principles', 'Climate Bonds Initiative', 'Intergovernmental Panel on Climate Change', 'Sustainability Accounting Standards Board', 'Institutional Investors Group on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'IFC Performance Standard', 'Climate Action 100+', 'Investor Network on Climate Risk']"
60,Manulife,"['Equator Principles', 'Global Real Estate Sustainability Benchmark', 'Climate Action 100+', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Carbon Disclosure Project', 'Science Based Targets initiative', 'Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board']"
61,PICTET,"['Climate Action 100+', 'Principles for Responsible Banking', 'Principles for Responsible Investment', 'Institutional Investors Group on Climate Change', 'Paris Agreement Capital Transition Assessment', 'Sustainable Development Goals', 'UN Global Compact', 'Investor Group on Climate Change']"
62,BOA,"['Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Sustainable Markets Initiative', 'Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure', 'Science Based Targets initiative']"
63,Ameriprise,"['Sustainability Accounting Standards Board', 'Principles for Responsible Investment', 'FTSE Russell', 'Sustainable Development Goals']"
64,TROWEPRICE,"['Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'Carbon Disclosure Project', 'Intergovernmental Panel on Climate Change', 'The Greenhouse Gas Protocol']"
65,1STSTATE,"['Principles for Responsible Investment', 'Climate Action 100+', 'Task Force on Climate-related Financial Disclosure', 'Investor Group on Climate Change', 'Sustainable Development Goals']"
66,Aegon,"['Sustainable Development Goals', 'Global Real Estate Sustainability Benchmark', 'UN Global Compact', 'Climate Action 100+', 'Intergovernmental Panel on Climate Change', 'Principles for Responsible Investment', 'Carbon Disclosure Project', 'Institutional Investors Group on Climate Change', 'Investor Group on Climate Change', 'Global Reporting Initiative', 'Green Bond Principles']"
67,CreditSuisse,"['Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'Climate Bonds Initiative', 'Paris Agreement Capital Transition Assessment', 'Poseidon Principles', 'Equator Principles', 'Science Based Targets initiative', 'Principles for Responsible Banking', 'Global Real Estate Sustainability Benchmark', 'UN Global Compact', 'Green Bond Principles', 'Climate Action 100+', 'International Corporate Governance Network', 'Principles for Responsible Investment', 'Intergovernmental Panel on Climate Change']"
68,Harbor,['Carbon Disclosure Project']
69,Vanguard,['Sustainability Accounting Standards Board']
70,Barings,"['Climate Action 100+', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'UN Global Compact']"
71,BOCOM,['Stock Exchange of Hong Kong']
72,Ninetyone,"['Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Principles for Responsible Investment', 'Climate Action 100+']"
73,AXAAM,"['Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'Climate Action 100+', 'Net Zero Asset Managers initiative', 'Climate Bonds Initiative', 'UN Global Compact', 'Science Based Targets initiative', 'Carbon Disclosure Project', 'Sustainability Accounting Standards Board']"
74,Invesco,"['Principles for Responsible Investment', 'UN Global Compact', 'Climate Action 100+', 'Task Force on Climate-related Financial Disclosure', 'Asia Investor Group on Climate Change', 'Carbon Disclosure Project', 'Climate Bonds Initiative', 'Global Real Estate Sustainability Benchmark', 'Institutional Investors Group on Climate Change', 'Investor Group on Climate Change', 'Sustainability Accounting Standards Board', 'Global Reporting Initiative', 'Sustainable Development Goals', 'Net Zero Asset Managers initiative']"
75,Natixis,['Sustainable Development Goals']
76,Wellington,"['Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project', 'Global Real Estate Sustainability Benchmark', 'International Corporate Governance Network', 'Investor Network on Climate Risk', 'Sustainable Development Goals']"
77,Mellon,"['Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Principles for Responsible Investment', 'Sustainability Accounting Standards Board', 'Carbon Disclosure Project', 'Climate Action 100+', 'Climate Disclosure Standards Board', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Equator Principles', 'The Greenhouse Gas Protocol']"
78,CICC,['Stock Exchange of Hong Kong']
79,CITICCapital,['Stock Exchange of Hong Kong']
80,Deutsche,"['Principles for Responsible Investment', 'UN Global Compact', 'Sustainable Development Goals', 'Green Bond Principles', 'Sustainability Linked Loan Principles']"
81,Insight,"['Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project', 'Institutional Investors Group on Climate Change', 'Sustainable Development Goals', 'Climate Action 100+', 'Green Bond Principles', 'UN Global Compact']"
82,BNP,"['Sustainable Development Goals', 'Paris Agreement Capital Transition Assessment', 'Poseidon Principles']"
83,Fisch,['Principles for Responsible Investment']
84,Fullerton,"['Principles for Responsible Investment', 'Sustainable Development Goals']"
85,UOBAM,"['Principles for Responsible Investment', 'Sustainable Development Goals']"
86,GOLDMAN,"['Sustainable Development Goals', 'Sustainability Accounting Standards Board', 'Center for Climate-Aligned Finance', 'Institutional Investors Group on Climate Change']"
87,PGIM,"['Global Reporting Initiative', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure']"
88,SMTH,"['Global Reporting Initiative', 'Principles for Responsible Banking', 'Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'Poseidon Principles', 'Principles for Financial Action for the 21st Century', 'Principles for Responsible Investment', 'UN Global Compact', 'Equator Principles', 'Climate Action 100+', 'Carbon Disclosure Project', 'Asia Investor Group on Climate Change', 'Investor Group on Climate Change', 'Intergovernmental Panel on Climate Change', 'Green Bond Principles', 'Science Based Targets initiative']"
89,DaiichiLife,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'FTSE Russell', 'UN Global Compact', 'Carbon Disclosure Project', 'Principles for Financial Action for the 21st Century', 'Global Real Estate Sustainability Benchmark', 'Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board', 'Climate Bonds Initiative', 'Green Bond Principles']"
90,TokioMarine,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'United Nations Framework Convention on Climate Change', 'Intergovernmental Panel on Climate Change', 'Principles for Responsible Investment', 'Global Reporting Initiative', 'Principles for Financial Action for the 21st Century', 'FTSE Russell', 'Carbon Disclosure Project']"
91,PingAn,"['FTSE Russell', 'Global Reporting Initiative', 'Principles for Responsible Investment', 'Stock Exchange of Hong Kong', 'Sustainable Development Goals', 'Climate Action 100+', 'UN Global Compact', 'Intergovernmental Panel on Climate Change', 'Carbon Disclosure Project', 'Green Investment Principle', 'Climate Bonds Initiative', 'Task Force on Climate-related Financial Disclosure', 'Green Bond Principles']"
92,Kyobo,"['Global Reporting Initiative', 'Carbon Disclosure Project', 'UN Global Compact', 'Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure']"
93,AXA,"['FTSE Russell', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Climate Action 100+', 'UN Global Compact', 'Science Based Targets initiative', 'Task Force on Climate-related Financial Disclosure', 'Climate Bonds Initiative', 'Intergovernmental Panel on Climate Change', 'Green Bond Principles', 'Carbon Risk Real Estate Monitor', 'Carbon Disclosure Project']"
94,FWD,"['Global Reporting Initiative', 'Principles for Responsible Investment', 'Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure']"
95,SunLife,"['Sustainable Development Goals', 'Global Reporting Initiative', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Green Bond Principles', 'Intergovernmental Panel on Climate Change', 'UN Global Compact']"
96,MeijiYasuda,"['Sustainable Development Goals', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure']"
97,Fukoku,"['Principles for Responsible Investment', 'Sustainable Development Goals']"
98,Cathay,"['Equator Principles', 'Principles for Responsible Banking', 'Principles for Responsible Investment', 'UN Global Compact', 'Asia Investor Group on Climate Change', 'Investor Group on Climate Change', 'Climate Action 100+']"
99,NanShanLife,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Global Reporting Initiative', 'Principles for Responsible Investment']"
100,TaiwanLife,"['Sustainable Development Goals', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure']"
101,AIA,"['Sustainable Development Goals', 'UN Global Compact', 'Principles for Responsible Investment', 'Global Reporting Initiative', 'Stock Exchange of Hong Kong', 'Intergovernmental Panel on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'Climate Action 100+', 'FTSE Russell']"
102,ShinKong,"['Global Reporting Initiative', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Equator Principles']"
103,JapanPost,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact']"
104,Prudential,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Global Reporting Initiative', 'UN Global Compact', 'Principles for Responsible Investment', 'Stock Exchange of Hong Kong', 'Carbon Disclosure Project', 'Climate Action 100+', 'International Corporate Governance Network', 'Asia Investor Group on Climate Change', 'Investor Group on Climate Change']"
105,KBFG,"['Global Reporting Initiative', 'Equator Principles', 'Task Force on Climate-related Financial Disclosure', 'Intergovernmental Panel on Climate Change', 'Partnership for Carbon Accounting Financials', 'Science Based Targets initiative', 'Green Bond Principles', 'Principles for Responsible Banking', 'Collective Commitment to Climate Action', 'Carbon Disclosure Project', 'Net Zero Bank Alliance', 'UN Global Compact', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Principles for Responsible Investment']"
106,NipponLife,"['Equator Principles', 'Principles for Financial Action for the 21st Century', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals']"
107,DGB,"['Principles for Responsible Banking', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'Sustainable Development Goals', 'Global Reporting Initiative', 'Carbon Disclosure Project']"
108,AsahiMutual,"['Sustainable Development Goals', 'Principles for Responsible Investment']"
109,AP2,"['Sustainable Development Goals', 'Investor Group on Climate Change', 'Principles for Responsible Investment', 'Global Reporting Initiative', 'Institutional Investors Group on Climate Change', 'Global Real Estate Sustainability Benchmark', 'Task Force on Climate-related Financial Disclosure', 'Climate Action 100+', 'UN Global Compact', 'Intergovernmental Panel on Climate Change', 'Science Based Targets initiative', 'Carbon Disclosure Project', 'United Nations Framework Convention on Climate Change']"
110,LPF,['Global Reporting Initiative']
111,AP3,"['Intergovernmental Panel on Climate Change', 'Climate Action 100+', 'Global Reporting Initiative', 'Green Bond Principles', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'Institutional Investors Group on Climate Change', 'Investor Group on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'Global Real Estate Sustainability Benchmark']"
112,CPP,"['Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure', 'Institutional Investors Group on Climate Change', 'Principles for Responsible Investment', 'Global Real Estate Sustainability Benchmark', 'Sustainability Accounting Standards Board', 'Intergovernmental Panel on Climate Change', 'International Corporate Governance Network', 'Network of Central Banks and Supervisors for Greening the Financial System']"
113,NPF,"['Principles for Responsible Investment', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Asia Investor Group on Climate Change', 'UN Global Compact', 'United Nations Environment Program Finance Initiative']"
114,AP1,"['Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'Climate Action 100+', 'Global Real Estate Sustainability Benchmark', 'UN Global Compact', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Principles for Responsible Investment']"
115,GPIF,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board', 'FTSE Russell', 'Carbon Risk Real Estate Monitor', 'International Corporate Governance Network', 'Climate Action 100+']"
116,FF,['International Corporate Governance Network']
117,AP4,"['Climate Action 100+', 'Portfolio Decarbonization Coalition ', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'International Corporate Governance Network', 'Global Real Estate Sustainability Benchmark', 'Global Reporting Initiative', 'Investor Group on Climate Change']"
118,GPF,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'Carbon Disclosure Project', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Principles for Responsible Investment', 'FTSE Russell', 'Stock Exchange of Hong Kong', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'The Greenhouse Gas Protocol', 'Intergovernmental Panel on Climate Change']"
119,NZSF,"['Climate Action 100+', 'Investor Group on Climate Change', 'Carbon Disclosure Project']"
120,FDC,"['Carbon Disclosure Project', 'Global Real Estate Sustainability Benchmark', 'Intergovernmental Panel on Climate Change', 'Paris Agreement Capital Transition Assessment', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'Sustainable Development Goals', 'Climate Action 100+', 'Climate Bonds Initiative', 'Green Bond Principles', 'Institutional Investors Group on Climate Change']"
121,ISIF,"['Principles for Responsible Investment', 'Carbon Disclosure Project', 'Climate Action 100+', 'Equator Principles', 'Sustainable Development Goals', 'UN Global Compact']"
122,AP7,"['Climate Action 100+', 'Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'Carbon Disclosure Project', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Principles for Responsible Investment']"
123,GEPF,"['International Corporate Governance Network', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Global Reporting Initiative']"
124,KWSP_EPF,"['Principles for Responsible Investment', 'Sustainable Development Goals']"
