,name,total_sent,e_sent,percent,percentile
0,1STSTATE,839,39,4.648390941597139,22.580645161290324
1,ABERDEEN,957,90,9.404388714733543,48.38709677419355
2,AIA,2480,310,12.5,60.483870967741936
3,AIIB,152,12,7.894736842105263,44.354838709677416
4,ALLIANZ,658,60,9.118541033434651,47.58064516129032
5,AP1,3121,56,1.7942966997757128,5.645161290322581
6,AP2,5007,82,1.6377072099061314,4.032258064516129
7,AP3,4439,78,1.7571525118269882,4.838709677419355
8,AP4,4443,48,1.0803511141120865,1.6129032258064515
9,AP7,1817,45,2.476609796367639,8.064516129032258
10,AVIVA,1063,60,5.644402634054563,31.451612903225808
11,AXA,18389,947,5.149817825874163,28.225806451612904
12,AXAAM,914,22,2.4070021881838075,7.258064516129032
13,Aegon,9743,644,6.609873755516782,38.70967741935484
14,Ameriprise,986,156,15.821501014198782,66.93548387096774
15,AsahiMutual,450,33,7.333333333333333,41.12903225806452
16,Ashmore,827,40,4.836759371221282,25.0
17,BDO,1357,258,19.012527634487842,75.80645161290323
18,BEA,699,127,18.168812589413445,72.58064516129032
19,BNI,2037,432,21.207658321060382,80.64516129032258
20,BNP,619,180,29.079159935379646,94.35483870967742
21,BOA,3461,280,8.090147356255418,45.16129032258065
22,BOC,3045,619,20.32840722495895,77.41935483870968
23,BOCHK,1873,336,17.93913507741591,70.96774193548387
24,BOCOM,286,34,11.888111888111888,56.45161290322581
25,BRI,836,173,20.69377990430622,78.2258064516129
26,BangkokBank,1037,272,26.229508196721312,89.51612903225806
27,Barings,205,11,5.365853658536586,29.838709677419356
28,BlackRock,1934,114,5.894519131334023,33.064516129032256
29,CAPITAL,62,2,3.225806451612903,13.709677419354838
30,CCB,625,210,33.6,98.38709677419355
31,CHBank,365,119,32.602739726027394,96.7741935483871
32,CICC,4775,343,7.18324607329843,40.32258064516129
33,CIMB,5728,915,15.974162011173185,67.74193548387096
34,CITICBank,905,261,28.839779005524864,92.74193548387096
35,CITICCapital,48,5,10.416666666666668,53.225806451612904
36,CMB,1471,545,37.04962610469069,99.19354838709677
37,CMBC,2466,712,28.872668288726683,93.54838709677419
38,CPP,2970,88,2.9629629629629632,9.67741935483871
39,Cathay,317,44,13.880126182965299,62.903225806451616
40,CitiBank,234,8,3.418803418803419,16.129032258064516
41,CreditSuisse,1383,137,9.906001446131597,50.806451612903224
42,DBS,991,162,16.347124117053482,68.54838709677419
43,DGB,1806,327,18.106312292358805,71.7741935483871
44,Dahsing,258,50,19.379844961240313,76.61290322580645
45,DaiichiLife,3634,349,9.603742432581178,50.0
46,Danamon,905,208,22.983425414364643,85.48387096774194
47,Deutsche,84,8,9.523809523809524,49.193548387096776
48,EFUND,486,21,4.320987654320987,20.161290322580644
49,EVERBRIGHT,218,16,7.339449541284404,41.935483870967744
50,Edward,491,40,8.146639511201629,45.96774193548387
51,FDC,614,10,1.6286644951140066,3.225806451612903
52,FF,10090,301,2.9831516352824576,11.290322580645162
53,FIDELITY,720,44,6.111111111111111,34.67741935483871
54,FWD,293,86,29.351535836177472,95.16129032258064
55,Fisch,70,4,5.714285714285714,32.25806451612903
56,Fukoku,589,28,4.753820033955857,24.193548387096776
57,GAM,538,17,3.1598513011152414,12.903225806451612
58,GEPF,3576,116,3.2438478747203576,14.516129032258064
59,GOLDMAN,919,100,10.88139281828074,54.03225806451613
60,GPF,3863,139,3.598239710069894,16.93548387096774
61,GPIF,928,46,4.956896551724138,26.612903225806452
62,HANGSENG,4710,862,18.301486199575372,73.38709677419355
63,HLB,1683,551,32.73915626856803,97.58064516129032
64,HSBCAM,1206,41,3.399668325041459,15.32258064516129
65,HSBCBank,6706,588,8.768267223382047,46.774193548387096
66,Hana,881,215,24.404086265607265,88.70967741935483
67,Harbor,101,3,2.9702970297029703,10.483870967741936
68,ICBC,790,248,31.39240506329114,95.96774193548387
69,ISIF,202,2,0.9900990099009901,0.8064516129032258
70,Insight,572,24,4.195804195804196,19.35483870967742
71,Invesco,1607,125,7.7784691972619795,43.54838709677419
72,JPMORGAN,1428,217,15.196078431372548,66.12903225806451
73,JapanPost,594,132,22.22222222222222,84.6774193548387
74,KBFG,2760,735,26.6304347826087,90.3225806451613
75,KWSP_EPF,1068,111,10.393258426966293,52.41935483870968
76,Krungthai,3364,922,27.40784780023781,91.12903225806451
77,Kyobo,2008,417,20.766932270916335,79.03225806451613
78,LPF,1571,81,5.155951623169956,29.032258064516128
79,Legal&General,719,54,7.510431154381085,42.74193548387097
80,MUFG,2350,310,13.191489361702127,61.29032258064516
81,Mandiri,1801,223,12.382009994447529,59.67741935483871
82,Manulife,888,105,11.824324324324325,55.645161290322584
83,Maybank,3964,917,23.133198789101918,87.09677419354838
84,MeijiYasuda,2138,264,12.34798877455566,58.87096774193548
85,Mellon,1067,176,16.49484536082474,69.35483870967742
86,Mizuho,134,9,6.7164179104477615,39.516129032258064
87,Morgan,1821,214,11.751784733662822,54.83870967741935
88,Muzinich,224,14,6.25,35.483870967741936
89,NPF,2302,45,1.954821894005213,6.451612903225806
90,NZSF,399,12,3.007518796992481,12.096774193548388
91,NanShanLife,856,198,23.130841121495326,86.29032258064517
92,Natixis,122,23,18.852459016393443,75.0
93,Neuberger,656,32,4.878048780487805,25.806451612903224
94,Ninetyone,724,34,4.696132596685083,23.387096774193548
95,NipponLife,4400,612,13.90909090909091,63.70967741935484
96,OCBC,1126,234,20.781527531083483,79.83870967741936
97,PGIM,463,28,6.047516198704104,33.87096774193548
98,PICTET,360,20,5.555555555555555,30.64516129032258
99,PIMCO,375,17,4.533333333333333,20.967741935483872
100,PSBC,907,352,38.80926130099228,100.0
101,Pinebridge,653,17,2.6033690658499236,8.870967741935484
102,PingAn,7353,1579,21.474228206174352,82.25806451612904
103,Prudential,1531,227,14.826910516002611,65.3225806451613
104,RHB,3897,862,22.119579163459072,83.87096774193549
105,SBI,699,194,27.753934191702434,91.93548387096774
106,SCB,987,173,17.52786220871327,70.16129032258064
107,SMTH,2992,441,14.739304812834225,64.51612903225806
108,Schroders,586,27,4.607508532423208,21.774193548387096
109,ShinKong,3256,598,18.366093366093367,74.19354838709677
110,Shinhan,609,63,10.344827586206897,51.61290322580645
111,Sinopac,7083,1513,21.361005223775237,81.45161290322581
112,SunLife,2363,284,12.018620397799408,58.064516129032256
113,TCW,24,1,4.166666666666666,18.548387096774192
114,TIAA,425,28,6.588235294117648,37.903225806451616
115,TROWEPRICE,483,31,6.418219461697723,36.29032258064516
116,TaiwanLife,342,83,24.269005847953213,87.90322580645162
117,TokioMarine,7262,871,11.993941063068025,57.25806451612903
118,UBS,3539,480,13.563153433173214,62.096774193548384
119,UOB,1335,287,21.49812734082397,83.06451612903226
120,UOBAM,40,2,5.0,27.419354838709676
121,VP,2482,102,4.10958904109589,17.741935483870968
122,Vanguard,505,7,1.3861386138613863,2.4193548387096775
123,Wellington,537,35,6.517690875232775,37.096774193548384
